Date,Open,High,Low,Close,Volume
2022-02-02,888.0,898.5,885.0,887.05,759682
2022-02-03,891.8,896.85,881.0,887.7,969604
2022-02-04,886.1,893.9,876.35,885.15,548582
2022-02-07,885.15,888.1,852.1,855.9,1952437
2022-02-08,856.0,865.95,843.25,847.8,1534006
2022-02-09,848.25,865.95,848.25,854.6,1010236
2022-02-10,858.7,864.95,843.6,861.35,820059
2022-02-11,862.0,862.0,840.65,844.3,1515571
2022-02-14,830.0,834.8,808.05,813.6,1479218
2022-02-15,820.0,854.0,816.3,851.65,2366674
2022-02-16,853.0,863.8,846.6,849.75,1116311
2022-02-17,856.7,861.95,846.65,851.15,977599
2022-02-18,846.2,849.3,834.0,835.95,1443436
2022-02-21,835.95,844.4,823.8,838.85,1174568
2022-02-22,826.05,841.6,822.1,838.9,1813004
2022-02-23,845.8,869.0,840.15,856.7,1847750
2022-02-24,840.1,859.2,829.4,844.55,5468778
2022-02-25,853.25,898.0,853.25,880.05,3874313
2022-02-28,880.0,894.0,865.65,885.15,2748107
2022-03-02,880.05,893.0,870.0,883.6,2254261
2022-03-03,891.0,893.6,871.5,876.75,3579885
2022-03-04,869.95,875.7,822.8,825.8,2153794
2022-03-07,810.0,814.6,765.2,775.0,2749718
2022-03-08,772.0,791.45,766.1,789.1,2322268
2022-03-09,790.9,822.0,782.8,817.1,1993280
2022-03-10,829.0,860.7,825.15,846.55,2544833
2022-03-11,839.0,856.0,838.3,851.85,1025573
2022-03-14,855.0,862.95,848.0,854.9,1081248
2022-03-15,854.8,865.9,851.0,858.25,1356249
2022-03-16,867.0,889.45,866.0,877.25,1966583
2022-03-17,889.25,922.0,885.75,919.55,3898848
2022-03-21,922.55,934.9,902.0,904.95,2156745
2022-03-22,904.5,918.2,886.2,916.15,1029613
2022-03-23,917.0,925.95,901.25,904.1,1478958
2022-03-24,900.0,915.95,896.05,905.7,1445436
2022-03-25,906.0,910.0,883.2,887.2,1549820
2022-03-28,889.9,891.8,868.75,872.1,1924067
2022-03-29,875.05,878.0,858.0,859.6,1498901
2022-03-30,865.0,883.7,861.55,880.25,2257862
2022-03-31,886.8,890.0,877.6,888.35,1101499
2022-04-01,889.0,904.75,882.3,899.4,1377931
2022-04-04,907.8,917.6,902.8,909.1,1032230
2022-04-05,913.0,937.65,910.9,928.3,1108730
2022-04-06,930.0,944.0,923.5,928.45,1523973
2022-04-07,932.9,932.9,900.65,902.65,1240662
2022-04-08,898.0,914.15,898.0,903.1,1295505
2022-04-11,902.95,917.6,899.4,910.4,793267
2022-04-12,907.1,916.1,892.2,900.45,995964
